condition,trial,observer,targ_type,id,x,y,found
1,1,1,1,1,0.3037109375,0.8619791666666666,1
1,1,1,1,2,0.2021484375,0.5924479166666666,2
1,1,1,1,3,0.126953125,0.5481770833333334,3
1,1,1,1,4,0.16015625,0.484375,4
1,1,1,0,5,0.1142578125,0.3580729166666667,5
1,1,1,1,6,0.1279296875,0.2265625,6
1,1,1,1,7,0.2822265625,0.2578125,7
1,1,1,0,8,0.390625,0.1328125,8
1,1,1,0,9,0.390625,0.28515625,9
1,1,1,1,10,0.361328125,0.3489583333333333,10
1,1,1,0,11,0.462890625,0.3619791666666667,11
1,1,1,0,12,0.453125,0.4401041666666667,12
1,1,1,0,13,0.51953125,0.3515625,13
1,1,1,0,14,0.3857421875,0.5651041666666666,14
1,1,1,1,15,0.484375,0.8515625,15
1,1,1,1,16,0.548828125,0.890625,16
1,1,1,1,17,0.5390625,0.7526041666666666,17
1,1,1,0,18,0.5498046875,0.6809895833333334,18
1,1,1,0,19,0.54296875,0.5533854166666666,19
1,1,1,1,20,0.5478515625,0.4778645833333333,20
1,1,1,1,21,0.6171875,0.453125,21
1,1,1,0,22,0.6279296875,0.5572916666666666,22
1,1,1,0,23,0.6943359375,0.6276041666666666,23
1,1,1,1,24,0.673828125,0.7578125,24
1,1,1,1,25,0.7568359375,0.8072916666666666,25
1,1,1,1,26,0.833984375,0.5716145833333334,26
1,1,1,0,27,0.82421875,0.66015625,27
1,1,1,0,28,0.78125,0.5494791666666666,28
1,1,1,1,29,0.69921875,0.5247395833333334,29
1,1,1,0,30,0.822265625,0.4765625,30
1,1,1,0,31,0.8505859375,0.3528645833333333,31
1,1,1,0,32,0.8544921875,0.2786458333333333,32
1,1,1,0,33,0.8623046875,0.15625,33
1,1,1,0,34,0.7021484375,0.20833333333333334,34
1,1,1,1,35,0.7080078125,0.14973958333333334,35
1,1,1,0,36,0.634765625,0.22005208333333334,36
1,1,1,1,37,0.6259765625,0.09505208333333333,37
1,1,1,1,38,0.513671875,0.109375,38
1,1,1,0,39,0.5556640625,0.21614583333333334,39
1,1,1,1,40,0.611328125,0.3528645833333333,40
1,2,1,0,1,0.14453125,0.83984375,1
1,2,1,0,2,0.2109375,0.8606770833333334,2
1,2,1,0,3,0.2890625,0.765625,3
1,2,1,0,4,0.1474609375,0.6979166666666666,4
1,2,1,0,5,0.3486328125,0.6419270833333334,5
1,2,1,0,6,0.236328125,0.56640625,6
1,2,1,0,7,0.2001953125,0.4375,7
1,2,1,0,8,0.1220703125,0.16015625,8
1,2,1,0,9,0.3701171875,0.328125,9
1,2,1,0,10,0.4345703125,0.4231770833333333,10
1,2,1,0,11,0.46875,0.7721354166666666,11
1,2,1,0,12,0.630859375,0.8723958333333334,12
1,2,1,0,13,0.693359375,0.8411458333333334,13
1,2,1,0,14,0.794921875,0.8919270833333334,14
1,2,1,0,15,0.8564453125,0.86328125,15
1,2,1,0,16,0.751953125,0.6822916666666666,16
1,2,1,0,17,0.62109375,0.5677083333333334,17
1,2,1,0,18,0.650390625,0.2421875,18
1,2,1,0,19,0.5478515625,0.15364583333333334,19
1,2,1,0,20,0.859375,0.11458333333333333,20
1,2,1,1,21,0.7880859375,0.14973958333333334,21
1,2,1,1,22,0.76171875,0.22786458333333334,22
1,2,1,1,23,0.86328125,0.3424479166666667,23
1,2,1,1,24,0.7568359375,0.3450520833333333,24
1,2,1,1,25,0.62109375,0.4375,25
1,2,1,1,26,0.701171875,0.74609375,26
1,2,1,1,27,0.7900390625,0.7604166666666666,27
1,2,1,1,28,0.8447265625,0.7747395833333334,28
1,2,1,1,29,0.603515625,0.7747395833333334,29
1,2,1,1,30,0.5146484375,0.7421875,30
1,2,1,1,31,0.544921875,0.5598958333333334,31
1,2,1,1,32,0.53515625,0.4778645833333333,32
1,2,1,1,33,0.5185546875,0.3606770833333333,33
1,2,1,1,34,0.435546875,0.31640625,34
1,2,1,1,35,0.390625,0.45703125,35
1,2,1,1,36,0.2216796875,0.23567708333333334,36
1,2,1,1,37,0.14453125,0.4466145833333333,37
1,2,1,1,38,0.279296875,0.5299479166666666,38
1,2,1,1,39,0.2509765625,0.6705729166666666,39
1,2,1,1,40,0.119140625,0.7682291666666666,40
1,3,1,0,1,0.8583984375,0.22916666666666666,1
1,3,1,0,2,0.8720703125,0.15755208333333334,2
1,3,1,1,3,0.7919921875,0.10546875,3
1,3,1,0,4,0.5908203125,0.20963541666666666,4
1,3,1,0,5,0.53125,0.2265625,5
1,3,1,1,6,0.55859375,0.11458333333333333,6
1,3,1,0,7,0.44140625,0.22526041666666666,7
1,3,1,1,8,0.3623046875,0.234375,8
1,3,1,0,9,0.2158203125,0.11067708333333333,9
1,3,1,0,10,0.1474609375,0.1171875,10
1,3,1,0,11,0.197265625,0.3567708333333333,11
1,3,1,1,12,0.216796875,0.4153645833333333,12
1,3,1,0,13,0.28515625,0.3268229166666667,13
1,3,1,1,14,0.3701171875,0.4296875,14
1,3,1,0,15,0.125,0.4752604166666667,15
1,3,1,0,16,0.177734375,0.5598958333333334,16
1,3,1,1,17,0.1171875,0.6653645833333334,17
1,3,1,1,18,0.1455078125,0.7408854166666666,18
1,3,1,1,19,0.2265625,0.74609375,19
