observer,condition,trial,targ_type,x,y,found
1,1,1,1,0.0222227613950681,-0.5780855136154364,1
1,1,1,1,0.14735021074025462,-0.6835684416928628,2
1,1,1,1,0.4431060001016046,-0.4140009588283287,3
1,1,1,1,0.5454830041113027,-0.15615380130573084,4
1,1,1,0,0.45448122276934877,0.007930753481376871,5
1,1,1,0,0.4317307774338604,-0.19131477733153965,6
1,1,1,0,0.6023591174500239,-0.3085180307509023,7
1,1,1,0,0.863989238808141,-0.3436790067767111,8
1,1,1,0,1.0346175788243046,-0.19131477733153965,9
1,1,1,1,1.4782512628663296,0.21889660963622964,10
1,1,1,1,1.6147539348792603,0.3478201883975286,11
1,1,1,1,1.9105097242406102,0.46502344181689126,12
1,1,1,1,1.1483698055017468,0.3595405137394649,13
1,1,1,0,0.9891166881533278,0.37126083908140106,14
1,1,1,1,0.6706104534564892,0.25405758566203845,15
1,1,1,1,0.6137343401177681,0.5119047431846363,16
1,1,1,1,0.9777414654855834,0.5939470205781902,17
1,1,1,0,1.1256193601662585,0.5939470205781902,18
1,1,1,0,1.4896264855340737,0.5939470205781902,19
1,1,1,0,1.3303733681856547,0.9572771061782145,20
1,1,1,1,0.8753644614758854,1.1682429623330672,21
1,1,1,0,0.6706104534564892,1.3674884931459839,22
1,1,1,0,0.7502370121306987,1.6136153253266452,23
1,1,1,1,0.9436157974823508,1.906623458875052,24
1,1,1,0,0.6364847854532565,1.894903133533116,25
1,1,1,1,0.1245997654047662,1.8480218321653705,26
1,1,1,1,-5.276839404203539e-4,1.6136153253266452,27
1,1,1,0,-0.10290468795011844,1.4612510958814737,28
1,1,1,1,-0.18253124662432804,0.7814722260491703,29
1,1,1,0,0.27247766008544116,-0.074111523912177,30
1,1,2,1,0.010847538727323861,-0.29679770540896605,1
1,1,2,0,0.09047409740153348,-0.4726025855380101,2
1,1,2,0,0.0222227613950681,-0.5780855136154364,3
1,1,2,1,0.14735021074025462,-0.6835684416928628,4
1,1,2,0,0.2838528827531853,-0.7421700684025442,5
1,1,2,1,0.4317307774338604,-0.6484074656670541,6
1,1,2,0,0.4999821134403257,-0.8476529964799705,7
1,1,2,0,0.6137343401177681,-0.9765765752412694,8
1,1,2,1,0.8753644614758854,-0.9648562498993332,9
1,1,2,0,1.1256193601662585,-0.5312042122476914,10
1,1,2,0,1.5920034895437718,-0.4843229108799463,11
1,1,2,1,1.7171309388889584,-0.16787412664766713,12
1,1,2,0,1.4782512628663296,0.21889660963622964,13
1,1,2,1,1.6943804935534699,0.4884640925007637,14
1,1,2,1,1.9105097242406102,0.46502344181689126,15
1,1,2,1,1.6147539348792603,0.3478201883975286,16
