observer,condition,trial,time_taken,acc
1,feature,1,27.816082,0.5897435897435898
1,feature,2,29.359322,0.6923076923076923
1,feature,3,28.376085,0.6923076923076923
1,feature,4,29.067204,0.6153846153846154
1,feature,5,25.986576,0.6666666666666666
1,feature,6,28.635575,0.717948717948718
1,feature,7,28.14992,0.7692307692307693
1,feature,8,27.579577,0.6153846153846154
1,feature,9,27.943069,0.6410256410256411
1,feature,10,29.166482,0.5641025641025641
1,feature,11,28.872599,0.717948717948718
1,feature,12,29.200224,0.6410256410256411
1,feature,13,28.716478,0.6666666666666666
1,feature,14,26.092895,0.6923076923076923
1,feature,15,29.554516,0.6666666666666666
1,feature,16,24.265137,0.8717948717948718
1,feature,17,26.493624,0.6923076923076923
1,feature,18,24.934984,0.6923076923076923
1,feature,19,27.975165,0.5897435897435898
1,feature,20,26.562024,0.6666666666666666
1,conjunction,1,29.07482,0.6410256410256411
1,conjunction,2,31.531887,0.5128205128205128
1,conjunction,3,26.976645,0.5128205128205128
1,conjunction,4,29.852718,0.6410256410256411
1,conjunction,5,33.745247,0.6153846153846154
1,conjunction,6,34.249172,0.5897435897435898
1,conjunction,7,31.191942,0.6153846153846154
1,conjunction,8,32.809937,0.46153846153846156
1,conjunction,9,37.306033,0.5897435897435898
1,conjunction,10,32.029828,0.6410256410256411
1,conjunction,11,34.673436,0.6410256410256411
1,conjunction,12,31.199349,0.5384615384615384
1,conjunction,13,36.204195,0.6153846153846154
1,conjunction,14,35.233962,0.5384615384615384
1,conjunction,15,43.53261,0.5128205128205128
1,conjunction,16,33.593899,0.6410256410256411
1,conjunction,17,31.375777,0.5641025641025641
1,conjunction,18,29.396428,0.46153846153846156
1,conjunction,19,30.546183,0.5128205128205128
1,conjunction,20,34.605626,0.5641025641025641
2,feature,1,33.848381,0.7692307692307693
2,feature,2,33.303831,0.6666666666666666
2,feature,3,34.587627,0.7692307692307693
2,feature,4,32.723679,0.7692307692307693
2,feature,5,30.512081,0.8205128205128205
2,feature,6,30.49631,0.717948717948718
2,feature,7,29.800467,0.7692307692307693
2,feature,8,29.629861,0.6666666666666666
2,feature,9,30.744339,0.6153846153846154
2,feature,10,30.470761,0.5384615384615384
2,feature,11,31.024156,0.717948717948718
2,feature,12,32.077247,0.7692307692307693
2,feature,13,29.543097,0.6923076923076923
2,feature,14,28.215869,0.717948717948718
2,feature,15,26.016988,0.8461538461538461
2,feature,16,27.630683,0.6410256410256411
2,feature,17,26.937992,0.6666666666666666
2,feature,18,26.026895,0.7692307692307693
2,feature,19,28.95131,0.717948717948718
2,feature,20,31.277351,0.6923076923076923
2,conjunction,1,34.915389,0.717948717948718
2,conjunction,2,36.779603,0.7435897435897436
2,conjunction,3,30.601111,0.6410256410256411
2,conjunction,4,32.65464,0.6410256410256411
2,conjunction,5,32.831873,0.6410256410256411
2,conjunction,6,29.77197,0.6410256410256411
2,conjunction,7,29.375919,0.7692307692307693
2,conjunction,8,33.332838,0.6153846153846154
2,conjunction,9,33.658241,0.5641025641025641
2,conjunction,10,34.955151,0.5128205128205128
2,conjunction,11,37.27293,0.6666666666666666
2,conjunction,12,35.222851,0.6153846153846154
2,conjunction,13,35.445622,0.717948717948718
2,conjunction,15,32.732949,0.5128205128205128
2,conjunction,16,34.095675,0.5128205128205128
2,conjunction,17,41.598957,0.7435897435897436
2,conjunction,18,36.261644,0.6153846153846154
2,conjunction,19,37.111824,0.6153846153846154
2,conjunction,20,28.112004,0.5641025641025641
3,feature,1,31.48702,0.5128205128205128
3,feature,2,34.119815,0.6923076923076923
3,feature,3,34.664215,0.5384615384615384
3,feature,4,30.062807,0.5384615384615384
3,feature,5,31.049424,0.6923076923076923
3,feature,6,29.43223,0.5128205128205128
3,feature,7,26.937855,0.5641025641025641
3,feature,9,30.840855,0.6153846153846154
3,feature,10,32.168692,0.48717948717948717
3,feature,11,26.320113,0.6153846153846154
3,feature,12,28.928105,0.5128205128205128
3,feature,13,29.989623,0.5384615384615384
3,feature,14,27.142785,0.6153846153846154
3,feature,15,27.75889,0.5897435897435898
3,feature,16,25.022158,0.6153846153846154
3,feature,17,30.22799,0.6410256410256411
3,feature,18,24.789712,0.6153846153846154
3,feature,19,24.774577,0.6410256410256411
3,feature,20,26.645488,0.6923076923076923
3,conjunction,1,30.876183,0.5384615384615384
3,conjunction,2,33.247806,0.5128205128205128
3,conjunction,3,32.182978,0.48717948717948717
3,conjunction,4,29.488609,0.5897435897435898
3,conjunction,5,32.038844,0.5128205128205128
3,conjunction,6,28.088273,0.5641025641025641
3,conjunction,7,41.071981,0.6153846153846154
3,conjunction,8,31.264752,0.4358974358974359
3,conjunction,9,28.03141,0.5897435897435898
3,conjunction,10,34.479976,0.5384615384615384
3,conjunction,11,32.900238,0.46153846153846156
3,conjunction,12,29.134616,0.717948717948718
3,conjunction,13,29.080496,0.48717948717948717
3,conjunction,14,27.530463,0.7692307692307693
3,conjunction,15,27.862373,0.5128205128205128
3,conjunction,16,32.337467,0.5384615384615384
3,conjunction,17,34.314846,0.46153846153846156
3,conjunction,18,28.497166,0.6410256410256411
3,conjunction,19,33.594569,0.5641025641025641
3,conjunction,20,27.133958,0.5641025641025641
4,feature,1,26.300178,0.6666666666666666
4,feature,2,22.646539,0.6923076923076923
4,feature,3,24.699787,0.8717948717948718
4,feature,4,25.655534,0.5641025641025641
4,feature,5,23.203818,0.5897435897435898
4,feature,6,23.511874,0.6410256410256411
4,feature,7,25.599051,0.6153846153846154
4,feature,8,22.501889,0.5897435897435898
4,feature,9,26.768468,0.6410256410256411
4,feature,10,26.192483,0.6410256410256411
4,feature,11,24.63378,0.5897435897435898
4,feature,12,24.244414,0.717948717948718
4,feature,13,26.714184,0.6410256410256411
4,feature,14,24.050318999999998,0.6410256410256411
4,feature,15,23.320682,0.6153846153846154
4,feature,16,24.639804,0.717948717948718
4,feature,17,22.738494,0.717948717948718
4,feature,18,23.089346,0.717948717948718
4,feature,19,25.159673,0.6153846153846154
4,feature,20,23.514073,0.5897435897435898
4,conjunction,1,37.848626,0.5641025641025641
4,conjunction,2,31.047586,0.5897435897435898
4,conjunction,3,35.182059,0.46153846153846156
4,conjunction,4,33.141994,0.5384615384615384
4,conjunction,5,32.055127,0.5897435897435898
4,conjunction,6,34.602619,0.5897435897435898
4,conjunction,7,32.822068,0.5384615384615384
4,conjunction,8,29.934605,0.6153846153846154
4,conjunction,9,29.59863,0.6153846153846154
4,conjunction,10,32.417883,0.6153846153846154
4,conjunction,11,28.664982,0.41025641025641024
4,conjunction,12,33.489071,0.6923076923076923
4,conjunction,13,31.704186,0.5384615384615384
4,conjunction,14,29.755651,0.5897435897435898
4,conjunction,15,27.614855,0.5897435897435898
4,conjunction,16,31.328855,0.6410256410256411
4,conjunction,17,27.326275,0.48717948717948717
4,conjunction,18,28.688287,0.5641025641025641
4,conjunction,19,28.864301,0.5897435897435898
4,conjunction,20,31.134773,0.6923076923076923
5,feature,1,30.318612,0.6923076923076923
5,feature,2,25.15671,0.717948717948718
5,feature,3,27.577476,0.8461538461538461
5,feature,4,28.43868,0.7435897435897436
5,feature,5,23.448072,0.6410256410256411
5,feature,6,31.478926,0.5897435897435898
5,feature,7,27.034998,0.8717948717948718
5,feature,8,29.228431,0.6410256410256411
5,feature,9,26.398638,0.6666666666666666
5,feature,10,23.811462,0.6410256410256411
5,feature,11,26.196611,0.8205128205128205
5,feature,12,26.227163,0.717948717948718
5,feature,13,25.297167,0.6666666666666666
5,feature,14,27.512486,0.6410256410256411
5,feature,15,25.302136,0.8205128205128205
5,feature,16,24.651577,0.6666666666666666
5,feature,17,25.913393,0.6923076923076923
5,feature,18,30.665485,0.6666666666666666
5,feature,19,28.2394,0.8205128205128205
5,feature,20,27.297197,0.7948717948717948
